survey_id,survey_time,survey_set,Please indicate your gender,How many years have you been teaching?,What is your current awareness of the growth mindset?,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,There is usually only one way to solve a maths problem,All of my students would improve their intelligence if they worked hard at it,Maths involves mostly facts and procedures that have to be learned,"There will always be some students who simply won't ""get it"" no matter what I do","In maths, answers are either right or wrong",Discussing students' errors with the class is a good strategy for enhancing students' understanding,Intelligence is something that people have a certain amount of and there isn't much they can do to change it,Some people have a knack for learning and some just don't,Students who finish their work quickly understand the material better than students who take longer,I can improve my skills but I can't change my basic level of ability,"In maths, you can be creative and discover things on your own",Effort should be a major consideration when grading students,Mathematical ability is something that remains relatively fixed throughout a person's life,"NA",Has this changed since your involvement with this course?
11,pre,about_you,Female,9-11 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,pre,about_you,Female,12-15years,Not at all aware,Yes,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,pre,about_you,Female,3-5 years,Aware,Yes,Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,pre,about_you,Female,6-8 years,Not very aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,pre,about_you,Female,6-8 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,pre,about_you,Female,9-11 years,Aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,pre,about_you,Female,9-11 years,Aware,I don't know,Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,pre,about_you,Female,12-15years,Not very aware,I don't know,Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,pre,about_you,Female,12-15years,Not very aware,"No, but I know there are plans to",Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,pre,about_you,Male,6-8 years,Aware,"No, and there are no plans to",Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,pre,about_you,Female,12-15years,Aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,pre,about_you,Female,>15 years,Aware,"No, but I know there are plans to",Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,pre,about_you,Female,9-11 years,Aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,pre,about_you,Female,9-11 years,Aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,pre,about_you,Female,6-8 years,Aware,Yes,Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,pre,about_you,Female,12-15years,Not very aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,pre,about_you,Female,9-11 years,Aware,"No, but I know there are plans to",Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,pre,about_you,Male,3-5 years,Not very aware,I don't know,Lack of confidence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,pre,about_you,Female,9-11 years,Not very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA
2,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,NA
3,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,NA
4,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,NA,Somewhat Disagree,NA,Somewhat Agree,NA,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,NA,Somewhat Agree,NA,NA
5,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,NA,Disagree,NA,Agree,NA,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,NA,Disagree,NA,NA
6,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,NA
7,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,NA
8,pre,you_beliefs,NA,NA,NA,NA,NA,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA
9,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,NA
10,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,NA
11,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,NA
12,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,NA
13,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA
14,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Disagree,NA
15,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Agree,Disagree,NA
16,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,NA
17,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,NA
18,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,NA
19,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,NA
20,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,NA
21,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,NA
22,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,NA
23,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,NA
24,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,NA
25,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,NA
26,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Agree,NA
27,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,NA
28,pre,you_beliefs,NA,NA,NA,NA,NA,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,NA
29,pre,you_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,NA
1,post,about_you,Male,<1 Year,Very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, but I know there are plans to"
2,post,about_you,Female,<1 Year,Very aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, and there are no plans to"
3,post,about_you,Female,>15 years,Very aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
4,post,about_you,Female,3-5 years,Very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't know
5,post,about_you,Female,6-8 years,Very aware,"No, but I know there are plans to",Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
6,post,about_you,Female,3-5 years,Very aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
7,post,about_you,Female,6-8 years,Very aware,"No, but I know there are plans to",Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't know
8,post,about_you,Female,12-15years,Very aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
9,post,about_you,NA,3-5 years,Very aware,Yes,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
10,post,about_you,NA,6-8 years,Very aware,Yes,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
11,post,about_you,NA,9-11 years,Very aware,I don't know,Lack of specific knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't know
12,post,about_you,NA,12-15years,Very aware,Yes,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, and there are no plans to"
13,post,about_you,Female,3-5 years,Aware,Yes,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
14,post,about_you,Female,6-8 years,Not very aware,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
15,post,about_you,Female,6-8 years,Not very aware,I don't know,Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
16,post,about_you,Female,9-11 years,Aware,I don't know,Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
17,post,about_you,Female,9-11 years,Aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
18,post,about_you,Female,12-15years,Not very aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't know
19,post,about_you,Female,12-15years,Not very aware,"No, but I know there are plans to",Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
20,post,about_you,Male,6-8 years,Aware,"No, and there are no plans to",Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
21,post,about_you,Female,12-15years,Aware,Yes,Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, and there are no plans to"
22,post,about_you,Female,>15 years,Aware,"No, but I know there are plans to",Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, and there are no plans to"
23,post,about_you,Female,9-11 years,Aware,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
24,post,about_you,Female,9-11 years,Aware,I don't know,Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
25,post,about_you,Female,6-8 years,Aware,Yes,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
26,post,about_you,Female,12-15years,Not very aware,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
27,post,about_you,Female,9-11 years,Aware,"No, but I know there are plans to",Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
28,post,about_you,Male,3-5 years,Not very aware,I don't know,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
29,post,about_you,Female,9-11 years,Not very aware,I don't know,Lack of staff engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
1,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA
2,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,NA
3,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,NA,Strongly Agree,NA,Disagree,NA,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,NA,Strongly Agree,NA,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,NA,Agree,NA,Strongly Disagree,NA,Agree,Disagree,Disagree,Disagree,Strongly Disagree,NA,Agree,NA,NA
6,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,NA
7,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,NA
8,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,NA
9,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,NA
10,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Disagree,NA
11,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,NA
12,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,NA
13,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,NA
14,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,NA
15,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,NA
16,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,NA
17,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA
18,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,NA
19,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Disagree,NA
20,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,NA
21,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA
22,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,NA
23,post,your_beliefs,NA,NA,NA,NA,NA,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,NA
23,post,your_beliefs,NA,NA,NA,NA,NA,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,NA
24,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,NA
25,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,NA
26,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,NA
27,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,NA
28,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,NA
29,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,NA
